STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
99725999999,9099090 - GRAND MARAIS  MN,2004-12-17,2020-04-07,null,US,47.75,-90.34,186.2
72656299999,AIRLAKE,1996-01-01,2014-06-02,MN,US,44.629,-93.228,293
72657399999,AIRLAKE,1993-01-28,1996-08-15,MN,US,44.633,-93.233,292
72656204943,AIRLAKE AIRPORT,2006-01-01,2020-04-08,MN,US,44.62778,-93.22806,292.61
72750499999,AITKIN MUNI KURTZ FL,1992-08-27,2014-06-04,MN,US,46.55,-93.683,367
72658999999,ALBERT LEA (AWOS),1986-03-31,2014-06-09,MN,US,43.683,-93.367,383
72658994968,ALBERT LEA MUNICIPAL ARPT,2006-01-01,2020-04-08,MN,US,43.68333,-93.36667,383.74
99999914910,ALEXANDRIA MUNICIPAL AP,1948-12-01,1955-01-01,MN,US,45.868,-95.394,436.2
72657799999,ANOKA CO BLAINE,1990-10-22,2014-06-09,MN,US,45.15,-93.217,278
72657794974,ANOKA CO-BLNE AP(JNS FD) AP,2006-01-01,2020-04-08,MN,US,45.15,-93.21667,277.98
72646699999,APPLETON MUNI ARPT,1997-01-31,2014-06-04,MN,US,45.23,-96,310
72646654917,APPLETON MUNICIPAL AIRPORT,2006-01-01,2020-04-08,MN,US,45.2275,-96.00722,310.9
72750494999,ATKN MUNI-S KURTZ FLD ARPT,2006-01-01,2020-04-08,MN,US,46.5475,-93.67667,366.98
72756699999,AUSTIN MUNI,1992-08-27,2014-06-09,MN,US,43.667,-92.933,376
72756604902,AUSTIN MUNICIPAL AIRPORT,2006-01-01,2020-04-08,MN,US,43.66472,-92.93333,375.82
72747694961,BAUDETTE INTERNATIONAL APT,1983-11-11,2020-04-07,MN,US,48.72606,-94.61216,329.79
72755099999,BEMIDJI MUNICIPAL,1973-01-01,2014-06-09,MN,US,47.5,-94.933,420
72755014958,BEMIDJI-BELTRAMI CO ARPT,2006-01-01,2020-04-08,MN,US,47.5,-94.93333,424.28
